symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason
IVV,2024-05-31,2024-06-03,526.7061726684569,531.1783119506836,7,31.304974975586447,0.008490766796161564,signal
QQQ,2024-05-31,2024-06-05,452.23177877807615,457.5220309753418,8,42.32201757812527,0.011698099172861909,signal
QQQ,2024-06-25,2024-06-27,476.5460773315429,479.6398751220703,8,24.750382324219117,0.006492127283580507,signal
IVV,2024-07-19,2024-07-23,555.9754028930663,557.0024375610352,7,7.189242675782339,0.0018472663765782826,signal
QQQ,2024-07-19,2024-07-23,479.6291438903808,480.92859365844726,8,10.395598144531505,0.0027092802525015003,signal
IVV,2024-07-25,2024-07-31,544.8643273315429,551.3381246337891,7,45.31658111572358,0.011881484944979759,max_hold
IVV,2024-09-06,2024-09-11,553.4929424438476,551.1483121948243,7,-16.412411743163375,-0.004236061689731896,signal
IVV,2024-10-24,2024-10-29,583.4128471069336,582.0873129272461,6,-7.953205078124711,-0.0022720346085290943,signal
QQQ,2024-11-01,2024-11-06,485.98549999999994,500.05943756103517,8,112.59150048828178,0.02895958328187831,signal
QQQ,2024-11-15,2024-11-21,503.4429424438476,505.73375024414065,7,16.035654602051466,0.004550282876492062,max_hold
IVV,2024-11-18,2024-11-21,589.6791168823241,595.7636253662109,6,36.50705090332076,0.010318338075216316,signal
IVV,2024-12-11,2024-12-12,609.4087877807616,609.0203748779297,6,-2.3304774169912434,-0.0006373601933873374,signal
QQQ,2024-12-19,2024-12-24,521.7111924438476,524.3051870727539,7,18.15796240234431,0.004972089283258985,signal
QQQ,2024-12-31,2025-01-06,517.4169244384765,523.4959995117188,7,42.553525512695956,0.011748891051137411,signal
QQQ,2025-02-24,2025-02-25,528.4078848876952,512.0430926927233,7,-114.55354536480309,-0.030969999999999942,stop_loss
IVV,2025-02-24,2025-02-28,605.5148831176757,587.8215631713867,6,-106.1599196777338,-0.02922028911195307,max_hold
IVV,2025-05-22,2025-05-28,586.0354622192382,593.8455624389649,6,46.86060131836007,0.013327009580872184,signal
QQQ,2025-05-22,2025-05-28,514.1736331176758,521.6578126831055,7,52.38925695800799,0.0145557435920034,signal
IVV,2025-06-23,2025-06-24,598.4678651123046,606.5828124389649,6,48.68968395996171,0.013559537277974876,signal
IVV,2025-08-01,2025-08-05,629.989345336914,634.255124633789,6,25.594675781250317,0.006771192764527978,signal
QQQ,2025-08-04,2025-08-05,559.6090377807617,564.8246246337891,7,36.509107971191725,0.00932005471839914,signal
IVV,2025-08-20,2025-08-25,643.182518005371,646.5827504882812,6,20.401394897461614,0.0052865747866639445,signal
QQQ,2025-08-20,2025-08-25,568.8983471069336,569.8296243896484,7,6.5189409790040145,0.001636983632402389,signal
IVV,2025-09-03,2025-09-05,646.4658273315429,654.0453121948242,6,45.47690917968794,0.011724494231300175,signal
QQQ,2025-09-03,2025-09-05,569.7992104492187,579.9095002441406,7,70.77202856445388,0.017743600920315794,signal
IVV,2025-09-26,2025-09-29,663.3727319946288,666.9024373168945,6,21.17823193359436,0.00532084777083397,signal
QQQ,2025-09-26,2025-09-30,594.9443255615233,597.8315626831055,6,17.32342272949313,0.004852953457211484,signal
IVV,2025-10-13,2025-10-16,664.5038668823241,669.4099370727539,6,29.436421142578638,0.0073830573980671055,signal
QQQ,2025-10-13,2025-10-16,600.279672668457,604.504875366211,6,25.351216186523743,0.0070387235985709395,signal
QQQ,2025-11-10,2025-11-11,619.5389028930664,619.9494373168945,6,2.463206542968919,0.0006626451089852825,signal
QQQ,2025-11-14,2025-11-20,600.1495377807616,611.0083751220703,6,65.15302404785211,0.018093552785964917,max_hold
IVV,2025-11-17,2025-11-21,673.6629802246093,657.5418121948243,5,-80.60584014892527,-0.023930612937065332,max_hold
QQQ,2025-12-15,2025-12-17,618.9883651123046,599.8182954447764,6,-115.02041800516918,-0.030970000000000164,stop_loss
IVV,2025-12-17,2025-12-22,681.5809244384765,686.2430626831054,5,23.310691223144886,0.006840182988498311,signal
IVV,2026-01-02,2026-01-06,689.4287302246094,690.2890004882812,5,4.301351318359252,0.0012478015869625825,signal
QQQ,2026-01-15,2026-01-20,627.2265755615234,607.801368516383,6,-116.5512422708423,-0.030970000000000053,stop_loss
QQQ,2026-02-02,2026-02-04,619.3187122192383,600.1384117018084,6,-115.08180310457897,-0.030970000000000053,stop_loss
IVV,2026-02-05,2026-02-09,684.613922668457,691.7975002441407,5,35.917887878418355,0.010492888528594202,signal
